Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AKAO,"Achaogen, Inc.",14.05,$593.38M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.61,$18.15M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",4.04,$552.52M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",23.51,$2.78B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",24.54,$656.11M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",6.02,$90.98M,2017,n/a,n/a,http://www.nasdaq.com/symbol/acmr
ACU,Acme United Corporation.,23.6,$79.58M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ACNB,ACNB Corporation,27.8,$195.02M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",27.65,$1.29B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ATV,"Acorn International, Inc.",14.28,$38.29M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATNM,"Actinium Pharmaceuticals, Inc.",0.62,$49.22M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
SQZZ,Active Alts Contrarian ETF,25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,"Activision Blizzard, Inc",63.2,$47.71B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,15.55,$510.04M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ATU,Actuant Corporation,25.55,$1.53B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,162.07,$6.82B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,18.09,$1.35B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ACXM,Acxiom Corporation,26.58,$2.12B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",28,$630.39M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,5.15,$161.46M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
